"Colaborador","Roles","Sexo.x","PaisOrigen.x","Nacimiento.x","Muerte.x","NombreR","Titulo","Fecha.ISO","Tipo","CantidadPaginas","Traduccion","Traductor"
"Cano, Antonio José","Creador","M","Colombia","1874","1942","Alpha","Sendero de llanto","1906-07-01","Poesía",1,"No",NA
"Restrepo, Saturnino","Creador","M","Colombia","1877","1961","Alpha","La oveja descarriada","1906-07-01","Prosa No Ficción",25,"No",NA
"Cruz, Efraím de la","Creador",NA,NA,NA,NA,"Alpha","Anima","1906-07-01","Poesía",2,"No",NA
"Villegas, Luis Eduardo","Creador","M","Colombia","1848","1915","Alpha","Carta","1906-07-01","Prosa No Ficción",3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Conmociones terrestres","1906-07-01","Prosa No Ficción",2.5,"Sí","J. M. J. MTZ"
"Restrepo, Saturnino","Creador","M","Colombia","1877","1961","Alpha","M. Curie","1906-07-01","Prosa No Ficción",2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","""Homo sapiens.""","1906-07-01","Prosa No Ficción",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Centro Artístico","1906-07-01","Prosa No Ficción",0.5,"No",NA
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Entrañas de niño","1906-08-01","Prosa Ficción",10,"No",NA
"Cano, Luis","Creador","M","Colombia","1885","1950","Alpha","Sucesos de todos los días","1906-08-01","Poesía",1,"No",NA
"Vélez Barrientos, Lucrecio","Creador","M","Colombia","1850","1925","Alpha","Martín Rua","1906-08-01","Prosa Ficción",9,"No",NA
"Marín, Abel","Creador","M","Colombia","1888","1950","Alpha","¿…...","1906-08-01","Prosa Ficción",1,"No",NA
"Novicow, F.","Creador",NA,NA,NA,NA,"Alpha","La felicidad de las sociedades humanas","1906-08-01","Prosa Ficción",7,"Sí","Anónimo"
"Velásquez García, José","Creador","M","Colombia","1873","1950","Alpha","La araña de los jardines.( Versión de una leyenda bretona)","1906-08-01","Poesía",2,"No",NA
"Villegas, Aquilino","Creador","M","Colombia","1880","1940","Alpha","Un animal canta","1906-08-01","Prosa Ficción",2,"No",NA
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Carta","1906-08-01","Prosa No Ficción",1.5,"No",NA
"Botero Guerra, Camilo","Creador","M","Colombia","1853","1942","Alpha","Instituto Isaacs","1906-08-01","Prosa Ficción",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Tercer certamen industrial","1906-08-01","Prosa No Ficción",1,"No",NA
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Homilia N°. 2°. En contestación y acatamiento al hermano Max Grillo","1906-09-01","Prosa No Ficción",28.5,"No",NA
"Jaramillo, Bernardo","Creador","M","Colombia","1884","1952","Alpha","¡Oh madre!","1906-09-01","Poesía",1,"No",NA
"Carrasquilla L., Juan de Dios","Creador","M","Colombia","1833","1908","Alpha","Estudios prehistóricos","1906-09-01","Prosa No Ficción",7.5,"No",NA
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Entrañas de niño IV","1906-09-01","Prosa Ficción",7.5,"No",NA
"Ospina Vásquez, Mariano","Creador","M","Colombia","1869","1941","Alpha","El silencio","1906-09-01","Poesía",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Nobleza obliga. I. El león","1906-09-01","Prosa Ficción",21,"No",NA
"Gaviria, José A.","Creador","M","Colombia","","","Alpha","Epílogo. De Lamus, Rincón & C.","1906-09-01","Prosa Ficción",1,"No",NA
"Sanín Cano, Baldomero","Crítico","M","Colombia","1861","1957","Alpha","Sr. D. Arcesio Aragón","1906-09-01","Prosa No Ficción",6,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","7 de Agosto","1906-09-01","Prosa No Ficción",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","""Obscuro y claro""","1906-09-01","Prosa No Ficción",2,"No",NA
"Restrepo, Saturnino","Crítico","M","Colombia","1877","1961","Alpha","Pax vobis","1906-09-01","Prosa No Ficción",2,"No",NA
"Triana, Miguel","Creador","M","Colombia","1859","1931","Alpha","Del ""Viaje al Putumayo"" (Capítulo de un libro inédito)","1906-10-01","Prosa Ficción",4,"No",NA
"Jaramillo P., Escipión","Creador","M","Colombia","","1940","Alpha","Las hormigas","1906-10-01","Poesía",2,"No",NA
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Entrañas de niño. V","1906-10-01","Prosa Ficción",17,"No",NA
"Restrepo Restrepo, Antonio María","Creador","M","Colombia","1875","1921","Alpha","6 de mayo","1906-10-01","Poesía",2,"No",NA
"Gartner Macías, Hugo","Creador","M","Colombia","1878","1940","Alpha","En los témpanos","1906-10-01","Prosa Ficción",2.5,"No",NA
"Carvajal, Manuel Antonio","Creador","M","Colombia","1886","1942","Alpha","Divagación","1906-10-01","Poesía",0.5,"No",NA
"Restrepo Restrepo, Carlos Eugenio","Creador","M","Colombia","1867","1937","Alpha","El primer personaje","1906-10-01","Prosa No Ficción",1.5,"No",NA
"Jaloux, Edmond","Creador","M","Francia","1878","1949","Alpha","La indiferente","1906-10-01","Prosa Ficción",2,"Sí","Anónimo"
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Prosas líricas","1906-10-01","Prosa No Ficción",2,"No",NA
"Restrepo, Saturnino","Creador","M","Colombia","1877","1961","Alpha","A propósito de Dreyfus","1906-10-01","Prosa No Ficción",1.6,"No",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Alpha","Trofeos","1906-10-01","Reseña de revista",0.4,"No",NA
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Entrañas de niño. VIII","1906-11-01","Prosa Ficción",16.5,"No",NA
"Ospina Vásquez, Mariano","Creador","M","Colombia","1869","1941","Alpha","Pasas…","1906-11-01","Poesía",0.4,"No",NA
"Triana, Miguel","Creador","M","Colombia","1859","1931","Alpha","Capítulo de un libro inédito","1906-11-01","Prosa Ficción",5.3,"No",NA
"Carvajal, Manuel Antonio","Creador","M","Colombia","1886","1942","Alpha","Paisaje de aldea","1906-11-01","Poesía",0.7,"No",NA
"Ospina Vásquez, Tulio","Creador","M","Colombia","1857","1921","Alpha","Riqueza filológica","1906-10-01","Prosa No Ficción",3,"No",NA
"Cano, Luis","Creador","M","Colombia","1885","1950","Alpha","Sucesos de todos los días","1906-10-01","Poesía",1,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Un terremoto en California","1906-10-01","Prosa No Ficción",3,"Sí","Anónimo"
"Restrepo, Saturnino","Crítico","M","Colombia","1877","1961","Alpha","Zolá en el Panteón","1906-10-01","Prosa No Ficción",3,"No",NA
"Restrepo, Saturnino","Crítico","M","Colombia","1877","1961","Alpha","La luna","1906-10-01","Prosa No Ficción",1.7,"No",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Alpha","""El correo del Valle""","1906-10-01","Reseña de revista",0.8,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Camilo Arturo Escobar","1906-10-01","Prosa No Ficción",0.3,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Del programa","1906-10-01","Prosa No Ficción",0.2,"No",NA
"Vélez Barrientos, Lucrecio","Creador","M","Colombia","1850","1925","Alpha","Copia fiel","1906-12-01","Prosa Ficción",3.3,"No",NA
"Jaramillo Medina, Francisco","Creador","M","Colombia","1884","1919","Alpha","En su baño","1906-12-01","Poesía",0.7,"No",NA
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Entrañas de niño","1906-12-01","Prosa Ficción",29.3,"No",NA
"Carvajal, Alberto","Creador","M","Colombia","1882","1937","Alpha","Ritmos breves","1906-12-01","Poesía",1.7,"No",NA
"Pérez Triana, Santiago","Creador","M","Colombia","1858","1916","Alpha","La traslación de la familia chimp a la ciudad","1906-12-01","Prosa Ficción",6,"Sí","Eastman, Tomás Oziel"
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Albirradium","1906-12-01","Prosa Ficción",1.4,"No",NA
"Solano Patiño, José","Creador","M","Colombia","1872","1928","Alpha","Acuarela de abanico. [poemas cortos]","1906-12-01","Poesía",1.6,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Míster Roosevelt","1906-12-01","Prosa No Ficción",2.5,"No",NA
"Nieto, Ricardo","Creador","M","Colombia","1878","1952","Alpha","Causerie","1906-12-01","Prosa No Ficción",2.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Publicaciones recibidas","1906-12-01","Prosa No Ficción",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Edición","1906-12-01","Prosa No Ficción",0.3,"No",NA
"RR.LL","Creador",NA,NA,NA,NA,"Alpha","Año Nuevo","1906-12-01","Prosa No Ficción",0.6,"No",NA
"Anónimo","Director",NA,NA,NA,NA,"Alpha","Indice del año primero","1906-12-01","Prosa No Ficción",2,"No",NA
"Vives, Luis","Creador",NA,NA,NA,NA,"Alpha","Desvelado","1907-01-01","Prosa No Ficción",2,"No",NA
"Cano Gutiérrez, Fidel","Creador","M","Colombia","1854","1919","Alpha","Preces de navidad","1907-01-01","Poesía",3.3,"No",NA
"Cano, Antonio José","Creador","M","Colombia","1874","1942","Alpha","Hebras de luz","1907-01-01","Poesía",0.7,"No",NA
"Bahr, Hermann","Creador","M","Austria","1863","1934","Alpha","El pudor de la condesa","1907-01-01","Prosa Ficción",2.5,"Sí","Anónimo"
"Jaramillo, Bernardo","Creador","M","Colombia","1884","1952","Alpha","12 de octubre","1907-01-01","Poesía",1,"No",NA
"Uribe Gómez, Pedro","Creador","M","Colombia","","","Alpha","Impresiones. El monumento á Maupassant","1907-01-01","Prosa Ficción",6,"No",NA
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Salutaris Hostia","1907-01-01","Poesía",0.5,"No",NA
"Ospina Vásquez, Mariano","Creador","M","Colombia","1869","1941","Alpha","Hablas…","1907-01-01","Poesía",0.5,"No",NA
"Brooks, Adam","Creador",NA,NA,NA,NA,"Alpha","Fragmento. De ""La ley de la civilización y de la decadencia""","1907-01-01","Prosa No Ficción",7,"Sí","Anónimo"
"Montoya Pérez, Rafael","Creador","M","Colombia","1883","","Alpha","Hojas","1907-01-01","Poesía",3,"No",NA
"Escobar Rojo, Severo","Creador","M","Colombia","1882","1928","Alpha","Por las letras","1907-01-01","Prosa Ficción",1.5,"No",NA
"Restrepo, Saturnino","Crítico","M","Colombia","1877","1961","Alpha","Tomás Carrasquilla","1907-01-01","Prosa No Ficción",2,"No",NA
"Restrepo, Saturnino","Crítico","M","Colombia","1877","1961","Alpha","Las facciones literarias","1907-01-01","Prosa No Ficción",2,"No",NA
"Uribe, Basiliso","Creador","M","Colombia","1872","1951","Alpha","Neurosis","1907-01-01","Prosa No Ficción",1.6,"No",NA
"Maeterlinck, Maurice","Creador","M","Bélgica","1862","1949","Alpha","En la muerte de un perro","1907-02-01","Prosa Ficción",11,"Sí","Anónimo"
"Soto Borda, Clímaco","Creador","M","Colombia","1870","1919","Alpha","Salmo de invierno","1907-02-01","Poesía",2,"No",NA
"Vélez Barrientos, Lucrecio","Creador","M","Colombia","1850","1925","Alpha","Dares y tomares","1907-02-01","Prosa Ficción",2,"No",NA
"Restrepo Restrepo, Antonio María","Creador","M","Colombia","1875","1921","Alpha","Sátiras breves II","1907-02-01","Poesía",1,"No",NA
"Vives, Luis","Creador",NA,NA,NA,NA,"Alpha","Noche de luna","1907-02-01","Poesía",2.3,"No",NA
"Gómez Restrepo, Antonio","Creador","M","Colombia","1869","1947","Alpha","Toledo (inédito)","1907-02-01","Poesía",0.7,"No",NA
"Rachilde","Creador","F","Francia","1860","1953","Alpha","La colación del perro (Anarquismo)","1907-02-01","Prosa Ficción",4.3,"Sí","Anónimo"
"Déubel, Leon","Creador","M","Francia","1879","1913","Alpha","Silencio!","1907-02-01","Poesía",0.7,"Sí","Restrepo Restrepo, Carlos Eugenio"
"Barbier, Auguste","Creador","M","Francia","1805","1882","Alpha","La cavale","1907-02-01","Poesía",2,"Sí","Nieto, Ricardo"
"Restrepo, Saturnino","Crítico","M","Colombia","1877","1961","Alpha","Lugares comunes","1907-02-01","Prosa No Ficción",2.7,"No",NA
"Restrepo, Saturnino","Crítico","M","Colombia","1877","1961","Alpha","Caín y Abel","1907-02-01","Prosa No Ficción",3,"No",NA
"Posada Arango, Andrés","Creador","M","Colombia","1839","1923","Alpha","El murrapo (A la Academia Antioqueña de historia)","1907-02-01","Prosa No Ficción",2,"No",NA
"Anónimo","Director",NA,NA,NA,NA,"Alpha","Enquete","1907-02-01","Prosa No Ficción",1,"No",NA
"Carvajal, Manuel Antonio","Creador","M","Colombia","1886","1942","Alpha","Sol de Domingo","1907-02-01","Prosa Ficción",2,"No",NA
"Carrasquilla, Tomás","Creador","M","Colombia","1858","1940","Alpha","Mirra I","1907-03-01","Prosa Ficción",6,"No",NA
"Pardo Farelo, Enrique","Creador","M","Colombia","1883","1965","Alpha","En la galeria","1907-03-01","Poesía",1.3,"No",NA
"Escobar Rojo, Severo","Creador","M","Colombia","1882","1928","Alpha","Postal","1907-03-01","Poesía",0.7,"No",NA
"Restrepo, Saturnino","Creador","M","Colombia","1877","1961","Alpha","El perro","1907-03-01","Prosa Ficción",3,"No",NA
"Merizalde Uribe, Antonio","Creador","M","Colombia","1883","1916","Alpha","¡Corazón!","1907-03-01","Poesía",1,"No",NA
"Vélez Barrientos, Lucrecio","Creador","M","Colombia","1850","1925","Alpha","El secreto del tío","1907-03-01","Prosa Ficción",3,"No",NA
"Velásquez, Edmundo","Creador","M","Colombia","1881","1954","Alpha","El viento","1907-03-01","Poesía",2,"No",NA
"Restrepo Euse, Álvaro","Creador","M","Colombia","1844","1910","Alpha","Nacimiento de la ciudad de Medellín. I","1907-03-01","Prosa No Ficción",5,"No",NA
"Gide, André","Creador","M","Francia","1869","1951","Alpha","El parque","1907-03-01","Poesía",1,"Sí","Latorre, Gabriel"
"Barrès, Maurice","Creador","M","Francia","1862","1923","Alpha","Del ""Viaje a Esparta""","1907-03-01","Prosa Ficción",3,"Sí","Anónimo"
"Restrepo, Saturnino","Crítico","M","Colombia","1877","1961","Alpha","La versión poética","1907-03-01","Prosa No Ficción",3.5,"No",NA
"Restrepo, Saturnino","Crítico","M","Colombia","1877","1961","Alpha","La opinión pública","1907-03-01","Prosa No Ficción",3,"No",NA
"LL. RR","Director",NA,NA,NA,NA,"Alpha","Enquete","1907-03-01","Prosa No Ficción",0.3,"No",NA
"Vallés, L.","Creador",NA,NA,NA,NA,"Alpha","Más allá de la física","1907-03-01","Prosa No Ficción",2.5,"No",NA
"Rendón, Francisco de Paula","Creador","M","Colombia","1855","1917","Alpha","Lenguas y corazones","1907-05-01","Prosa Ficción",58,"No",NA
"Cano, Luis","Creador","M","Colombia","1885","1950","Alpha","El zagal, dice:","1907-05-01","Poesía",2,"No",NA
"Restrepo Restrepo, Carlos Eugenio","Creador","M","Colombia","1867","1937","Alpha","El padre Victor","1907-05-01","Prosa Ficción",13.3,"No",NA
"Jaramillo, Bernardo","Creador","M","Colombia","1884","1952","Alpha","Agua pérfida","1907-05-01","Poesía",0.7,"No",NA
"Vives, Luis","Creador",NA,NA,NA,NA,"Alpha","El espíritu santo","1907-05-01","Prosa Ficción",1.5,"No",NA
"Olano, Ricardo","Creador","M","Colombia","1874","1947","Alpha","Ofrenda","1907-05-01","Poesía",0.5,"No",NA
"Jaramillo Medina, Francisco","Creador","M","Colombia","1884","1919","Alpha","Invernal","1907-05-01","Poesía",1,"No",NA
"Mesa Jaramillo, José María","Creador","M","Colombia","1862","1918","Alpha","El padre y la casa de de Girardot","1907-05-01","Prosa No Ficción",4.3,"No",NA
"Soto, Aquilino","Creador",NA,NA,NA,NA,"Alpha","Generación espontánea","1907-05-01","Prosa No Ficción",1.7,"No",NA
"Restrepo, Saturnino","Crítico","M","Colombia","1877","1961","Alpha","Historia patria","1907-05-01","Prosa No Ficción",2,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Alpha","1907-05-01","Prosa No Ficción",0.3,"No",NA
"Anónimo","Director",NA,NA,NA,NA,"Alpha","""Arte""","1907-05-01","Prosa No Ficción",0.4,"No",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Alpha","Libros recibidos","1907-05-01","Reseña",1,"No",NA
"Anónimo","Reseñista",NA,NA,NA,NA,"Alpha","Libros recibidos","1907-05-01","Reseña",0.3,"No",NA
"Uribe Gómez, Pedro","Creador","M","Colombia","","","Alpha","Ignis Ardens","1907-06-01","Prosa Ficción",13,"No",NA
"Velásquez García, José","Creador","M","Colombia","1873","1950","Alpha","El barquero del amor","1907-06-01","Poesía",2,"No",NA
"Betancourt Villegas, Félix","Creador","M","Colombia","1872","1948","Alpha","Estado de la mujer en el matrimonio, costumbres y legislación","1907-06-01","Prosa No Ficción",9.5,"No",NA
"Cano, Antonio José","Creador","M","Colombia","1874","1942","Alpha","Hablaron nuestras manos","1907-06-01","Poesía",1,"No",NA
"Vélez Barrientos, Lucrecio","Creador","M","Colombia","1850","1925","Alpha","Los mártires de pluma","1907-06-01","Prosa Ficción",3,"No",NA
"Bonilla, Manuel Antonio","Creador","M","Colombia","1872","1949","Alpha","Ofelia","1907-06-01","Poesía",2,"No",NA
"Restrepo, Saturnino","Creador","M","Colombia","1877","1961","Alpha","Atenas contra Sócrates","1907-06-01","Prosa No Ficción",2,"No",NA
"Restrepo, Saturnino","Creador","M","Colombia","1877","1961","Alpha","La polémica con los poetas","1907-06-01","Prosa No Ficción",2,"No",NA
"Gómez Escobar, Francisco","Creador","M","Colombia","1867","1938","Alpha","Un padre de la patria","1907-07-01","Prosa No Ficción",24,"No",NA
"Rodríguez Moya, Francisco","Creador","M","Colombia","1884","1958","Alpha","De cómo pasé una tarde en la sala de los dioses","1907-07-01","Poesía",2,"No",NA
"Montoya, José","Creador",NA,NA,NA,NA,"Alpha","Alma de amor","1907-07-01","Prosa Ficción",2,"No",NA
"Vélez Barrientos, Lucrecio","Creador","M","Colombia","1850","1925","Alpha","Fuina","1907-07-01","Prosa Ficción",1.5,"No",NA
"Jaramillo Medina, Francisco","Creador","M","Colombia","1884","1919","Alpha","Espinas del sueño","1907-07-01","Poesía",0.5,"No",NA
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","M.y Mme. Berthelot","1907-07-01","Prosa No Ficción",2,"Sí","Escobar Rojo, Severo"
"Anónimo","Creador",NA,NA,NA,NA,"Alpha","Pobiedonostzev","1907-07-01","Prosa No Ficción",1.2,"Sí","Restrepo, Saturnino"
"Parville, Henry de","Creador","M","Francia","1838","1909","Alpha","Los colores y nuestros ojos","1907-07-01","Prosa No Ficción",3,"Sí","Anónimo"
"Escobar Rojo, Severo","Creador","M","Colombia","1882","1928","Alpha","La conferencia de Valle-Inclán","1907-07-01","Prosa No Ficción",1.5,"No",NA
"Martínez Sierra, Gregorio","Creador","M","España","1881","1947","Alpha","El madrigal nuevo","1907-08-01","Reseña de revista",21,"No",NA
"Jaramillo Medina, Francisco","Creador","M","Colombia","1884","1919","Alpha","Los visionarios","1907-08-01","Poesía",6,"No",NA
"Gourmont, Remy de","Creador","M","Francia","1858","1915","Alpha","Un nuevo filósofo. Julio de Gaultier","1907-08-01","Prosa Ficción",4,"Sí","Gómez Restrepo, Antonio"
"Ospina Vásquez, Mariano","Creador","M","Colombia","1869","1941","Alpha","A jamais","1907-08-01","Poesía",0.5,"No",NA
"Vives, Luis","Creador",NA,NA,NA,NA,"Alpha","De feminismo","1907-08-01","Prosa Ficción",2.3,"No",NA
